"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","HHIPDLIB","HHIP_LIB","HHISTATB","HHIS_ATB","HHICOVQ","HHICOVQ_","HHIGROUP","HHIG_OUP","HHIPRDED","HHIP_DED","HHIR_MPD","QHI3MCX","QHI3MCX_","HHIBCBS","HHIBCBS_","HHICODE","HHICODE_","HHIPOS","HHIPOS_","HHISPECT","HHIS_ECT","HHIPROUT","HHIP_OUT","HHIPRYOU","HHIP_YOU","HHIRPMPD","HHISUBPD","HHIS_BPD","PORTAL","PORTAL_","PORTPLAN","PORT_LAN","PREMSUBS","PREM_UBS"
"20153","02994564",6,0,"5","01","D",,"A",1,"D","1","D","2","D","D",600,"D","2","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994564",7,0,"1","02","D",,"A",1,"D","2","D","2","D","D",114,"D","2","D","4","D",,"A","1","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994734",10,0,"5","01","D",,"A",1,"D","1","F",,"A","A",.,"A","2","D","1","D","1","D",,"A","2","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02994824",9,0,"5","01","D",,"A",2,"D","3","D","2","D","D",630,"D","2","D","4","D",,"A","4","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02994824",10,0,"5","02","D",,"A",1,"D","2","D","1","D","D",975,"D","2","D","1","D","2","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02994824",11,0,"5","03","D",,"A",1,"D","1","D","2","D","D",345,"F","2","D","1","D","2","D",,"A",,"A","1","D","04",,"A","1","D",,"C",,"C"
"20153","02994964",6,0,"5","01","D",,"A",1,"D","1","D",,"A","A",.,"A","2","D","1","D","2","D",,"A","2","D","2","D",,"1","D","1","D",,"C","1","D"
"20153","02994974",18,0,"5","01","D",,"A",4,"D","2","D","1","D","D",1476,"D","2","D","2","D",,"A",,"A",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20153","02995004",4,0,"5","01","D",,"A",1,"D","1","D","2","D","D",468,"D","1","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02995024",12,0,"5","01","D",,"A",2,"D","2","D","1","D","D",494,"D","1","D","1","D","2","D",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
